parent,sku,price,override_price,preparation_days,weight,length,width,height,images,tags,defaultTags
6453,OTAA1BL06E,9290,8290,11,6.94,96.5,72,6,,,
6453,OTAA1BL06N,8790,7790,17,6.94,96.5,72,6,,,
6453,OTAA2BL06E,6990,6590,11,2.68,68,48.5,6,,,
6453,OTAA2BL06N,6590,6190,17,2.68,68,48.5,6,,,
6453,OTAA3BL06E,5890,5490,11,1.25,51.5,36,4,,,
6453,OTAA3BL06N,5590,5190,17,1.25,51.5,36,4,,,
6453,OTAA4BL06E,5190,4990,11,0.68,37,27.5,4,,,
6453,OTAA4BL06N,4890,4690,17,0.68,37,27.5,4,,,
6453,OTAA5BL06E,4840,4740,11,0.35,27.2,19.2,3.7,,,
6453,OTAA5BL06N,4590,4490,17,0.35,27.2,19.2,3.7,,,
6453,OTAA6BL06E,4540,4490,11,0.2,21.5,15.5,3,,,
6453,OTAA6BL06N,4290,4240,17,0.2,21.5,15.5,3,,,
6453,OTAA0BL05E,10690,9690,11,,,,,,,
6453,OTAA0BL05N,10190,9190,17,,,,,,,
6453,OTAA1BL05E,8690,7690,11,6.94,96.5,72,6,,,
6453,OTAA1BL05N,8190,7190,17,6.94,96.5,72,6,,,
6453,OTAA2BL05E,6390,5990,11,2.68,68,48.5,6,,,
6453,OTAA2BL05N,5990,5590,17,2.68,68,48.5,6,,,
6453,OTAA3BL05E,5290,4890,11,1.25,51.5,36,4,,,
6453,OTAA3BL05N,4990,4590,17,1.25,51.5,36,4,,,
6453,OTAA4BL05E,4590,4390,11,0.68,37,27.5,4,,,
6453,OTAA4BL05N,4290,4090,17,0.68,37,27.5,4,,,
6453,OTAA5BL05E,4240,4140,11,0.35,27.2,19.2,3.7,,,
6453,OTAA5BL05N,3990,3890,17,0.35,27.2,19.2,3.7,,,
6453,OTAA6BL05E,3940,3890,11,0.2,21.5,15.5,3,,,
6453,OTAA6BL05N,3690,3640,17,0.2,21.5,15.5,3,,,
6453,OTAA0BL04E,10090,9090,11,,,,,,,
6453,OTAA0BL04N,9590,8590,17,,,,,,,
6453,OTAA1BL04E,8090,7090,11,6.94,96.5,72,6,,,
6453,OTAA1BL04N,7590,6590,17,6.94,96.5,72,6,,,
6453,OTAA2BL04E,5790,5390,11,2.68,68,48.5,6,,,
6453,OTAA2BL04N,5390,4990,17,2.68,68,48.5,6,,,
6453,OTAA3BL04E,4690,4290,11,1.25,51.5,36,4,,,
6453,OTAA3BL04N,4390,3990,17,1.25,51.5,36,4,,,
6453,OTAA4BL04E,3990,3790,11,0.68,37,27.5,4,,,
6453,OTAA4BL04N,3690,3490,17,0.68,37,27.5,4,,,
6453,OTAA5BL04E,3640,3540,11,0.35,27.2,19.2,3.7,,,
6453,OTAA5BL04N,3390,3290,17,0.35,27.2,19.2,3.7,,,
6453,OTAA6BL04E,3340,3290,11,0.2,21.5,15.5,3,,,
6453,OTAA6BL04N,3090,3040,17,0.2,21.5,15.5,3,,,
6453,OTAA0BL03E,9490,8490,11,,,,,,,
6453,OTAA0BL03N,8990,7990,17,,,,,,,
6453,OTAA1BL03E,7490,6490,11,6.94,96.5,72,6,,,
6453,OTAA1BL03N,6990,5990,17,6.94,96.5,72,6,,,
6453,OTAA2BL03E,5190,4790,11,2.68,68,48.5,6,,,
6453,OTAA2BL03N,4790,4390,17,2.68,68,48.5,6,,,
6453,OTAA3BL03E,4090,3690,11,1.25,51.5,36,4,,,
6453,OTAA3BL03N,3790,3390,17,1.25,51.5,36,4,,,
6453,OTAA4BL03E,3390,3190,11,0.68,37,27.5,4,,,
6453,OTAA4BL03N,3090,2890,17,0.68,37,27.5,4,,,
6453,OTAA5BL03E,3040,2940,11,0.35,27.2,19.2,3.7,,,
6453,OTAA5BL03N,2790,2690,17,0.35,27.2,19.2,3.7,,,
6453,OTAA6BL03E,2740,2690,11,0.2,21.5,15.5,3,,,
6453,OTAA6BL03N,2490,2440,17,0.2,21.5,15.5,3,,,
6453,OTAA0BL02E,8890,7890,11,,,,,,,
6453,OTAA0BL02N,8390,7390,17,,,,,,,
6453,OTAA1BL02E,6890,5890,11,6.94,96.5,72,6,,,
6453,OTAA1BL02N,6390,5390,17,6.94,96.5,72,6,,,
6453,OTAA2BL02E,4590,4190,11,2.68,68,48.5,6,,,
6453,OTAA2BL02N,4190,3790,17,2.68,68,48.5,6,,,
6453,OTAA3BL02E,3490,3090,11,1.25,51.5,36,4,,,
6453,OTAA3BL02N,3190,2790,17,1.25,51.5,36,4,,,
6453,OTAA4BL02E,2790,2590,11,0.68,37,27.5,4,,,
6453,OTAA4BL02N,2490,2290,17,0.68,37,27.5,4,,,
6453,OTAA5BL02E,2440,2340,11,0.35,27.2,19.2,3.7,,,
6453,OTAA5BL02N,2190,2090,17,0.35,27.2,19.2,3.7,,,
6453,OTAA6BL02E,2140,2090,11,0.2,21.5,15.5,3,,,
6453,OTAA6BL02N,1890,1840,17,0.2,21.5,15.5,3,,,
